Operating System,Operating System Version,Browser,Browser Version,Device Category,Pageviews
Android,10,Android Webview,78.0.3904.96,mobile,1
Android,10,Android Webview,79.0.3945.116,mobile,1
Android,9,Android Webview,79.0.3945.116,mobile,10
Android,10,Chrome,77.0.3865.92,mobile,1
Android,10,Chrome,78.0.3904.108,mobile,1
Android,10,Chrome,79.0.3945.116,mobile,34
Android,10,Chrome,79.0.3945.136,mobile,66
Android,10,Chrome,79.0.3945.93,mobile,42
Android,4.1.2,Chrome,71.0.3578.99,mobile,1
Android,4.3,Chrome,52.0.2743.98,mobile,1
Android,4.4.2,Chrome,78.0.3904.108,mobile,1
Android,4.4.2,Chrome,79.0.3945.116,tablet,3
Android,5.0,Chrome,79.0.3945.136,mobile,1
Android,5.1,Chrome,76.0.3809.111,tablet,1
Android,5.1.1,Chrome,78.0.3904.108,mobile,2
Android,6.0,Chrome,78.0.3904.108,mobile,18
Android,6.0,Chrome,79.0.3945.136,mobile,1
Android,6.0,Chrome,79.0.3945.93,mobile,3
Android,6.0.1,Chrome,78.0.3904.108,mobile,1
Android,6.0.1,Chrome,79.0.3945.116,mobile,4
Android,6.0.1,Chrome,79.0.3945.116,tablet,10
Android,6.0.1,Chrome,79.0.3945.93,tablet,1
Android,7.0,Chrome,79.0.3945.116,mobile,9
Android,7.0,Chrome,79.0.3945.116,tablet,1
Android,7.0,Chrome,79.0.3945.136,mobile,7
Android,7.0,Chrome,79.0.3945.93,mobile,8
Android,7.1.2,Chrome,79.0.3945.116,mobile,2
Android,7.1.2,Chrome,79.0.3945.93,mobile,2
Android,8.0.0,Chrome,69.0.3497.100,mobile,1
Android,8.0.0,Chrome,76.0.3809.111,mobile,1
Android,8.0.0,Chrome,77.0.3865.92,mobile,1
Android,8.0.0,Chrome,79.0.3945.116,mobile,14
Android,8.0.0,Chrome,79.0.3945.136,mobile,7
Android,8.0.0,Chrome,79.0.3945.93,mobile,10
Android,8.1.0,Chrome,70.0.3538.110,mobile,1
Android,8.1.0,Chrome,77.0.3865.116,tablet,1
Android,8.1.0,Chrome,78.0.3904.108,mobile,2
Android,8.1.0,Chrome,79.0.3945.116,mobile,4
Android,8.1.0,Chrome,79.0.3945.116,tablet,1
Android,8.1.0,Chrome,79.0.3945.136,mobile,1
Android,8.1.0,Chrome,79.0.3945.93,mobile,1
Android,8.1.0,Chrome,79.0.3945.93,tablet,1
